X,Y,OBJECTID,No,Location,Latitude,Longitude,Type,DistrictL,DistrictS,Address,Provider,ParkingNo,img
114.2511215,22.2654590600001,40,40,Island Resort,22.26545906,114.2511215,Standard,Hong Kong Island,Eastern,"Island Resort Carpark 1/F ,  28 Siu Sai Wan Road, Chai Wan, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Island%20Resort.jpg
114.1752701,22.2808494600001,41,41,Great Eagle Centre,22.28084946,114.1752701,Standard,Hong Kong Island,Wan Chai,"Great Eagle Centre Carpark 4/F,  23-25 Harbour Road, Wan Chai, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Great%20Eagle%20Centre.jpg
114.171257,22.2742805500001,42,42,Hopewell Centr,22.27428055,114.171257,"Standard;SemiQuick",Hong Kong Island,Wan Chai,"Hopewell Centre Carpark 11/F,  183 Queen&#39;s Rd E, Wan Chai, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Hopewell%20Centre.jpg
114.1874161,22.2740020800001,43,43,Olympic House,22.27400208,114.1874161,Standard,Hong Kong Island,Wan Chai,"Olympic House Carpark G/F 1 Stadium Path, Happy Valley, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Olympic%20House.jpg
114.1825943,22.2816143000001,44,44,Sino Plaza,22.2816143,114.1825943,Standard,Hong Kong Island,Wan Chai,"Sino Plaza Carpark B2/F 255-257 Gloucester Road, Causerway Bay, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Sino%20Plaza.jpg
114.1817627,22.2779121400001,45,45,Times Square,22.27791214,114.1817627,Standard,Hong Kong Island,Wan Chai,"Times Square Carpark B5 &amp;B6 1 Matheson St, Causeway Bay, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Times%20Square.jpg
114.1727371,22.27438927,46,46,Wu Chung House,22.27438927,114.1727371,Standard,Hong Kong Island,Wan Chai,"Wu Chung House Carpark 5/F 213 Queen&#39;s Rd E, Wan Chai, HK",Others,null,/EV/PublishingImages/common/map/map_thumb/Wu%20Chung%20House.jpg
114.1893005,22.3116893800001,47,47,Sunshine Plaza,22.31168938,114.1893005,Standard,Kowloon,Kowloon City,"Sunshine Plaza Carpark Level 2/F 17 Sung On Street , Hung Hom, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Sunshine%20Plaza.jpg
114.2097321,22.3208255800001,48,48,Exchange Tower,22.32082558,114.2097321,Standard,Kowloon,Kwun Tong,"Exchange Tower Carpark Level B2 33 Wang Chiu Road , Kowloon Bay, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Exchange%20Tower.jpg
114.2193832,22.3134193400001,49,49,Fullerton Centre,22.31341934,114.2193832,Standard,Kowloon,Kwun Tong,"Fullerton Centre Carpark G/F, 19 Hung To Road, Kwun Tong, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Fullerton%20Centre.jpg
114.2243118,22.3117294300001,50,50,Futura Plaza,22.31172943,114.2243118,Standard,Kowloon,Kwun Tong,"Futura Plaza Carpark Level 1, 111-113 How Ming Street, Kwun Tong, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Futura%20Plaza.jpg
114.2045212,22.3230495500001,51,51,"Kowloon Bay International Trade &amp; Exhibition Centre",22.32304955,114.2045212,Standard,Kowloon,Kwun Tong,"Kowloon Bay International Trade &amp; Exhibition Centre,  Carpark Level B2, 1 Trademart Drive, Kowloon Bay, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Hong%20Kong%20International%20Trade%20and%20Exhibition%20Centre.jpg
114.2212448,22.30915833,52,52,Kwun Tong Harbour Plaza,22.30915833,114.2212448,Standard,Kowloon,Kwun Tong,"Kwun Tong Harbour Plaza Carpark Level 6, 182 Wai Yip Street, Kwun Tong, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Kwun%20Tong%20Harbour%20Plaza.jpg
114.2102356,22.32448387,53,53,Metro Centre,22.32448387,114.2102356,Standard,Kowloon,Kwun Tong,"Metro Centre Carpark G/F,  32 Lam Hing Street, Kowloon Bay Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Metro%20Centre.jpg
114.2109528,22.32467461,54,54,Metro Centre II,22.32467461,114.2109528,Standard,Kowloon,Kwun Tong,"Metro Centre II Carpark G/F,  21 Lam Hing Street, Kowloon Bay, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Metro%20Centre%20II.jpg
114.2198029,22.3130493200001,55,55,Remington Centre,22.31304932,114.2198029,Standard,Kowloon,Kwun Tong,"Remington Centre G/F Carpark,  23 Hung To Road, Kwun Tong, Kln",Others,null,/EV/PublishingImages/common/map/map_thumb/Regentville%20Shopping%20Mall.jpg
